,Disease,Symptoms
34,osteoarthristis," joint pain,  neck pain,  knee pain,  hip joint pain,  swelling joints,  painful walking"
35,arthritis," muscle weakness,  stiff neck,  swelling joints,  movement stiffness,  painful walking"
36,vertigo," vomiting,  headache,  nausea,  spinning movements,  loss of balance,  unsteadiness"
37,acne," skin rash,  pus filled pimples,  blackheads,  scurring"
38,urinary tract infection," burning micturition,  bladder discomfort,  foul smell of urine,  continuous feel of urine"
39,psoriasis," skin rash,  joint pain,  skin peeling,  silver like dusting,  small dents in nails,  inflammatory nails"
40,impetigo," skin rash,  high fever,  blister,  red sore around nose,  yellow crust ooze"
41,panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic , sharp chest pain, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
42,vocal cord polyp,"hoarse voice, sore throat, difficulty speaking, cough, nasal congestion, throat swelling, diminished hearing, lump in throat, throat feels tight, difficulty in swallowing, skin swelling, retention of urine"
43,turner syndrome,"groin mass, leg pain, hip pain, suprapubic pain, blood in stool, lack of growth, diminished hearing, depression, emotional , elbow weakness, back weakness, pus in sputum"
44,cryptorchidism," of the scrotum and testes, swelling of scrotum, pain in testicles, flatulence, pus draining from ear, jaundice, mass in scrotum, lack of growth, white discharge from eye, irritable infant"
45,poisoning due to ethylene glycol,"abusing alcohol, fainting, hostile behavior, drug abuse, depressive or psychotic , sharp abdominal pain, feeling ill, vomiting, headache, depression, nausea, diarrhea"
46,atrophic vaginitis,"vaginal itching, vaginal dryness, painful urination, involuntary urination, pain during intercourse, frequent urination, lower abdominal pain, suprapubic pain, vaginal discharge, blood in urine, hot flashes, intermenstrual bleeding"
47,fracture of the hand,"hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, arm stiffness or tightness, arm swelling, hand or finger stiffness or tightness, wrist stiffness or tightness"
48,cellulitis or abscess of mouth,"lip swelling, sore throat, toothache, abnormal appearing skin, skin lesion, difficulty in swallowing, acne or pimples, dry lips, facial pain, mouth ulcer, throat swelling, skin growth"
49,eye alignment disorder,"eye deviation, diminished vision, double vision, cross-eyed,  of eye, pain in eye, eye moves abnormally, abnormal movement of eyelid, foreign body sensation in eye, lack of growth, irregular appearing scalp, swollen lymph nodes"
50,headache after lumbar puncture,"headache, nausea, back pain, vomiting, dizziness, neck pain, low back pain, pain of the anus, pain during pregnancy, painful urination, pelvic pain, impotence"
51,pyloric stenosis,"vomiting, sharp abdominal pain, infant spitting up, vomiting blood, cough, arm stiffness or tightness, regurgitation, burning abdominal pain, restlessness, pain during pregnancy,  of infants, wheezing"
52,salivary gland disorder,"sore throat, peripheral edema, neck mass, ear pain, swollen lymph nodes, throat feels tight, facial pain, skin swelling, jaw swelling, cough, mouth dryness, neck swelling"
53,osteochondrosis,"knee pain, foot or toe pain, bowlegged or knock-kneed, ankle pain, bones are painful, knee weakness, hand or finger pain, elbow pain, knee swelling, skin moles, knee lump or mass, weight gain"
54,injury to the knee,"knee pain, knee swelling, leg pain, problems with movement, knee stiffness or tightness, leg swelling, knee weakness, foot or toe swelling, heartburn, smoking problems"
55,metabolic disorder,"weight gain, jaundice, mouth dryness, muscle pain, smoking problems, infant feeding problem, recent weight loss, problems with shape or size of breast, arm stiffness or tightness, underweight, difficulty eating, scanty menstrual flow"
56,vaginitis,"vaginal discharge, vaginal itching, sharp abdominal pain, painful urination, vaginal pain, lower abdominal pain, pelvic pain, vaginal redness, suprapubic pain, pain during pregnancy, vulvar irritation, pain during intercourse"
57,sick sinus syndrome,"dizziness, sharp chest pain, shortness of breath, palpitations, fainting, weakness, irregular heartbeat, decreased heart rate, increased heart rate, bleeding or discharge from nipple"
58,tinnitus of unknown cause,"ringing in ear, diminished hearing, dizziness, ear pain, headache, plugged feeling in ear, itchy ear(s), frontal headache,  of eye, hoarse voice, fluid in ear, neck stiffness or tightness"
59,glaucoma,"diminished vision, pain in eye,  of eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye, blindness, eye burns or stings, foreign body sensation in eye, itchy eyelid, feeling cold"
60,eating disorder,"depression, anxiety and nervousness, depressive or psychotic , decreased appetite, abusing alcohol, excessive appetite, difficulty eating, weight gain, excessive anger, insomnia, vomiting blood, acne or pimples"
61,transient ischemic attack,"loss of sensation, dizziness, headache, weakness, focal weakness, slurring words, difficulty speaking,  of the face, depressive or psychotic , diminished vision, disturbance of memory, paresthesia"
62,pyelonephritis,"side pain, fever, sharp abdominal pain, back pain, vomiting, nausea, painful urination, low back pain, lower abdominal pain, blood in urine, suprapubic pain, frequent urination"
63,rotator cuff injury,"shoulder pain, arm pain, shoulder stiffness or tightness, shoulder weakness, arm cramps or spasms, arm stiffness or tightness, neck stiffness or tightness, hand or finger stiffness or tightness, shoulder swelling, tongue lesions, leg cramps or spasms, abnormal appearing tongue"
64,chronic pain disorder,"back pain, low back pain, ache all over, leg pain, neck pain, headache, sharp abdominal pain, shoulder pain, knee pain, hip pain, pelvic pain, lower body pain"
65,problem during pregnancy,"sharp abdominal pain, pain during pregnancy, problems during pregnancy, lower abdominal pain, spotting or bleeding during pregnancy, nausea, headache, back pain, vomiting, burning abdominal pain, pelvic pain, cramps and spasms"
66,liver cancer,"sharp abdominal pain, upper abdominal pain, stomach bloating, changes in stool appearance, decreased appetite, unusual color or odor to urine, increased heart rate, kidney mass, swollen abdomen,  of prostate, leg stiffness or tightness, groin mass"
67,atelectasis,"cough, shortness of breath, sharp chest pain, fever, nasal congestion, dizziness, sore throat, sharp abdominal pain, difficulty breathing, rib pain, ache all over, headache"
68,injury to the hand,"hand or finger pain, hand or finger swelling, wrist pain, hand or finger stiffness or tightness, joint pain, skin growth, muscle stiffness or tightness, pallor, focal weakness,  of the face, wrist swelling, hand or finger lump or mass"
69,choledocholithiasis,"sharp abdominal pain, upper abdominal pain, vomiting, nausea, sharp chest pain, back pain, diarrhea, jaundice, side pain, chills, unusual color or odor to urine, decreased appetite"
70,injury to the hip,"hip pain, leg pain, neck pain, groin pain, lower body pain, hand or finger swelling, peripheral edema, leg swelling, problems with movement"
71,cirrhosis,"sharp abdominal pain, shortness of breath, peripheral edema, fatigue, upper abdominal pain, abdominal distention, stomach bloating, blood in stool, regurgitation,  of the kidneys, vomiting blood, melena"
72,thoracic aortic aneurysm,"sharp chest pain, dizziness, back pain, shortness of breath, sharp abdominal pain, fatigue, chest tightness, unusual color or odor to urine, flushing, leg cramps or spasms, coughing up sputum, jaundice"
73,subdural hemorrhage,"headache, dizziness, problems with movement, depressive or psychotic , seizures, vomiting, facial pain, disturbance of memory, irritable infant, abnormal movement of eyelid, hostile behavior, delusions or hallucinations"
74,congenital rubella,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
75,diabetic retinopathy,"diminished vision, spots or clouds in vision, pain in eye, lacrimation,  of eye, eye redness, foreign body sensation in eye, itchiness of eye, blindness, bleeding from eye, abnormal movement of eyelid, double vision"
76,fibromyalgia,"back pain, ache all over, neck pain, muscle pain, leg pain, headache, shoulder pain, low back pain, sharp chest pain, arm pain, hip pain, fatigue"
77,ischemia of the bowel,"sharp abdominal pain, vomiting, diarrhea, nausea, rectal bleeding, blood in stool, lower abdominal pain, constipation, melena, burning abdominal pain, chills, retention of urine"
78,fetal alcohol syndrome,"excessive anger, temper problems, lack of growth, eye redness, depressive or psychotic , hostile behavior, smoking problems, seizures, coryza, wrist weakness, eye strain, emotional , "
79,peritonitis,"sharp abdominal pain, nausea, vomiting, back pain, fever, shortness of breath, lower abdominal pain, upper abdominal pain, side pain, groin mass, intermenstrual bleeding, groin pain"
80,injury to the abdomen,"sharp abdominal pain, sharp chest pain, back pain, burning abdominal pain, upper abdominal pain, lower abdominal pain, leg pain, neck pain, pain during pregnancy, side pain, problems during pregnancy, blood in urine"
81,acute pancreatitis,"sharp abdominal pain, vomiting, nausea, upper abdominal pain, diarrhea, sharp chest pain, burning abdominal pain, back pain, side pain, abusing alcohol, lower body pain, hemoptysis"
82,thrombophlebitis,"leg pain, leg swelling, arm pain, abnormal appearing skin, arm swelling, foot or toe pain, ache all over, lymphedema, skin on leg or foot looks infected, skin swelling, leg cramps or spasms, hand or finger swelling"
83,asthma,"cough, shortness of breath, wheezing, difficulty breathing, nasal congestion, fever, sharp chest pain, coryza, chest tightness, allergic reaction, coughing up sputum, congestion in chest"
84,foreign body in the vagina,"vaginal discharge, pelvic pain, painful urination, lower abdominal pain, skin lesion, back weakness, pus in sputum, emotional , muscle swelling, pus in urine, abnormal size or shape of ear, low back weakness"
85,restless leg syndrome,"abnormal involuntary movements, leg pain, headache, sleepiness, apnea, fatigue, abnormal breathing sounds, depression, back pain, difficulty breathing, loss of sensation, insomnia"
86,emphysema,"sharp chest pain, shortness of breath, chest tightness, cough, nausea, ache all over, back pain, cross-eyed, itchy eyelid, excessive growth, emotional , elbow cramps or spasms"
87,cysticercosis,"seizures, headache, vomiting, shortness of breath, abnormal involuntary movements, elbow cramps or spasms, elbow weakness, excessive growth, underweight, low back weakness, wrist weakness, feeling hot and cold"
88,induced abortion,"spotting or bleeding during pregnancy, sharp abdominal pain, pain during pregnancy, cramps and spasms, lower abdominal pain, pelvic pain, problems during pregnancy, intermenstrual bleeding, vaginal discharge, blood clots during menstrual periods, groin pain, absence of menstruation"
89,teething syndrome,"fever, pulling at ears, cough, irritable infant, nasal congestion, diarrhea, ear pain, gum pain,  of infants, temper problems, redness in ear, decreased appetite"
90,infectious gastroenteritis,"vomiting, diarrhea, nausea, sharp abdominal pain, fever, burning abdominal pain, headache, blood in stool, decreased appetite, chills, fluid retention, flu-like syndrome"
91,acute sinusitis,"cough, nasal congestion, sore throat, headache, frontal headache, coryza, fever, ear pain, sinus congestion, painful sinuses, facial pain, coughing up sputum"
92,von hippel-lindau disease,"seizures, upper abdominal pain, excessive growth, abnormal appearing skin, headache, blood in urine, paresthesia, diminished vision, knee pain, fatigue, nausea, kidney mass"
93,substance-related mental disorder,"depressive or psychotic , delusions or hallucinations, depression, anxiety and nervousness, drug abuse, abusing alcohol, insomnia, feeling ill, excessive anger, problems with movement, hostile behavior, fears and phobias"
94,postpartum depression,"depression, recent pregnancy, problems during pregnancy, anxiety and nervousness, pain during pregnancy, depressive or psychotic , drug abuse, spotting or bleeding during pregnancy, uterine contractions, delusions or hallucinations, intermenstrual bleeding, excessive anger"
95,coronary atherosclerosis,"sharp chest pain, shortness of breath, fatigue, chest tightness, palpitations, irregular heartbeat, lymphedema, leg cramps or spasms, burning chest pain"
96,spondylitis,"back pain, low back pain, leg pain, neck pain, hip pain, side pain, back cramps or spasms, lower body pain, stiffness all over, muscle cramps contractures or spasms, low back cramps or spasms, back mass or lump"
97,pituitary adenoma,"headache, loss of sensation, diminished vision, knee pain, nausea, disturbance of memory, coryza, weight gain, pain in eye, nosebleed, long menstrual periods, muscle swelling"
98,uterine fibroids,"sharp abdominal pain, pelvic pain, heavy menstrual flow, lower abdominal pain, unpredictable menstruation, painful menstruation, intermenstrual bleeding, long menstrual periods, infertility, vaginal discharge, involuntary urination, cramps and spasms"
99,idiopathic nonmenstrual bleeding,"intermenstrual bleeding, unpredictable menstruation, long menstrual periods, pelvic pain, sharp abdominal pain, heavy menstrual flow, painful menstruation, vaginal discharge, painful urination, frequent menstruation, blood clots during menstrual periods, sweating"
100,chalazion,"mass on eyelid, pain in eye, swollen eye, eye redness,  of eye, eyelid swelling, eyelid lesion or rash, diminished vision, itchiness of eye, skin growth, foreign body sensation in eye, lacrimation"
101,ovarian torsion,"sharp abdominal pain, lower abdominal pain, pelvic pain, ache all over, groin mass, unwanted hair,  of bladder, knee swelling, pain or soreness of breast, skin swelling, infertility, acne or pimples"
102,retinopathy due to high blood pressure,"diminished vision, spots or clouds in vision,  of eye, pain in eye, itchiness of eye, foreign body sensation in eye, mass on eyelid, eye redness, blindness, pus draining from ear, lacrimation, irregular appearing nails"
103,vaginal yeast infection,"vaginal itching, vaginal discharge, painful urination, sharp abdominal pain, vaginal pain, vaginal redness, itching of skin, problems during pregnancy, suprapubic pain, pelvic pain, lower abdominal pain, vulvar irritation"
104,mastoiditis,"ear pain, dizziness, redness in ear, fluid in ear, cough, headache, diminished hearing, fever, plugged feeling in ear, ringing in ear, nasal congestion, facial pain"
105,lung contusion,"back pain, sharp chest pain, ache all over, rib pain, elbow pain, hip pain, hurts to breath, fluid retention, dizziness, headache, shoulder pain, shortness of breath"
106,hypertrophic obstructive cardiomyopathy (hocm),"sharp chest pain, difficulty breathing, anxiety and nervousness, chest tightness, leg swelling, joint pain, cough, emotional , elbow cramps or spasms, nailbiting, muscle swelling, elbow weakness"
107,ingrown toe nail,"irregular appearing nails, foot or toe pain, skin on leg or foot looks infected, foot or toe swelling, abnormal appearing skin, skin dryness peeling scaliness or roughness, skin growth, skin on arm or hand looks infected, swollen eye, neck swelling, skin irritation, itchy scalp"
108,pulmonary eosinophilia,"cough, shortness of breath, fever, nasal congestion, sharp chest pain, difficulty breathing, dizziness, ache all over, nosebleed, redness in ear, fluid retention, paresthesia"
109,open wound of the hip,"hip pain, leg pain, hip swelling"
110,corneal disorder,"diminished vision, pain in eye, eye redness, spots or clouds in vision,  of eye, foreign body sensation in eye, lacrimation, itchiness of eye, white discharge from eye, swollen eye, double vision, eyelid lesion or rash"
111,foreign body in the gastrointestinal tract,"difficulty in swallowing, vomiting, sharp abdominal pain, regurgitation, vomiting blood, throat feels tight, lump in throat, recent weight loss, cramps and spasms, incontinence of stool, foot or toe cramps or spasms, temper problems"
112,endophthalmitis,"pain in eye, eye redness, swollen eye, diminished vision, itchiness of eye, mass on eyelid, paresthesia, painful sinuses, skin lesion, foot or toe pain, lacrimation, painful urination"
113,intestinal malabsorption,"diarrhea, vomiting, sharp abdominal pain, allergic reaction, irritable infant, infant feeding problem, cough, constipation, nasal congestion, infant spitting up, feeling ill, flatulence"
114,lead poisoning,"pain in eye, shoulder cramps or spasms, facial pain, ankle pain, wrist pain, pain during pregnancy, excessive anger, joint stiffness or tightness, pain or soreness of breast, knee lump or mass, fatigue, excessive urination at night"
115,viral warts,"warts, skin lesion, skin growth, abnormal appearing skin, skin moles, acne or pimples, bumps on penis, skin swelling, skin dryness peeling scaliness or roughness, lip swelling, too little hair, foot or toe lump or mass"
116,hyperhidrosis,"sweating, warts, acne or pimples, fever, skin rash, redness in ear, headache, diminished vision, sharp abdominal pain, cough, vomiting, cramps and spasms"
117,stroke,"focal weakness, dizziness, headache, loss of sensation, weakness, problems with movement, slurring words, difficulty speaking, depressive or psychotic , seizures, abnormal involuntary movements, disturbance of memory"
118,pilonidal cyst,"skin growth, lower body pain, ache all over, skin swelling, pain of the anus, bones are painful, back mass or lump, mass or swelling around the anus, pelvic pain, fluid retention, low back swelling, irregular appearing scalp"
119,crushing injury,"hand or finger pain, foot or toe pain, loss of sensation, hand or finger swelling, hand or finger stiffness or tightness, ankle swelling, knee swelling, neck swelling, lymphedema"
120,normal pressure hydrocephalus,"problems with movement, headache, disturbance of memory, depressive or psychotic , dizziness, palpitations, difficulty speaking, involuntary urination, fatigue, hip lump or mass, blood in urine, drainage in throat"
121,alopecia,"too little hair, irregular appearing scalp, skin rash, skin swelling, abnormal appearing skin, dry or flaky scalp, acne or pimples, skin dryness peeling scaliness or roughness, itchy scalp, itching of skin, feeling ill, skin growth"
122,hashimoto thyroiditis,"weight gain, constipation, heavy menstrual flow, premenstrual tension or irritability, warts, difficulty in swallowing, too little hair, palpitations, heartburn, suprapubic pain, abnormal involuntary movements, feeling hot"
123,flat feet,"foot or toe pain, knee pain, ankle pain, problems with movement, cramps and spasms, feet turned in,  of eye, foot or toe stiffness or tightness, skin swelling, weight gain, skin growth, retention of urine"
124,nonalcoholic liver disease (nash),"sharp abdominal pain, upper abdominal pain, nausea, dizziness, diarrhea, weight gain, mouth ulcer, chills, paresthesia, joint pain, nosebleed, regurgitation"
125,hemarthrosis,"knee pain, knee swelling, frequent urination, shoulder pain, ankle swelling, knee lump or mass, abnormal appearing skin, ache all over, knee stiffness or tightness, problems with movement, elbow cramps or spasms, elbow weakness"
126,pelvic organ prolapse,"involuntary urination, frequent urination,  of bladder, retention of urine, suprapubic pain, vaginal pain, pelvic pain, blood in urine, pelvic pressure, vaginal discharge, excessive urination at night, intermenstrual bleeding"
127,fracture of the arm,"arm pain, wrist pain, elbow pain, shoulder pain, wrist swelling, arm swelling, elbow swelling, arm stiffness or tightness, wrist stiffness or tightness, shoulder stiffness or tightness, elbow stiffness or tightness"
128,coagulation (bleeding) disorder,"leg pain, leg swelling, nosebleed, blood in urine, eye redness, melena, lymphedema, hemoptysis, leg cramps or spasms, early or late onset of menopause, knee swelling, vaginal pain"
129,intracranial hemorrhage,"headache, depressive or psychotic , disturbance of memory, problems with movement, dizziness, seizures, weakness, vomiting, joint pain, abnormal involuntary movements, diminished vision, difficulty speaking"
130,hyperkalemia,"shortness of breath, weakness, nausea, vomiting, dizziness, sharp chest pain, depressive or psychotic , sharp abdominal pain, feeling ill, decreased heart rate, decreased appetite, difficulty in swallowing"
131,cornea infection,"pain in eye, eye redness, diminished vision,  of eye, foreign body sensation in eye, lacrimation, eye burns or stings, itchiness of eye, spots or clouds in vision, swollen eye, lip swelling, itchy eyelid"
132,abscess of the lung,"cough, sharp chest pain, shortness of breath, hemoptysis, depressive or psychotic , back pain, drainage in throat, vomiting, headache, itchy eyelid, wrist weakness, excessive growth"
133,dengue fever,"sore throat, fever, shoulder cramps or spasms, ankle pain, wrist pain, pain during pregnancy, joint stiffness or tightness, excessive anger, pain or soreness of breast, knee lump or mass, facial pain, pain in eye"
134,chronic sinusitis,"cough, nasal congestion, headache, sore throat, fever, frontal headache, coryza, ear pain, painful sinuses, sinus congestion, facial pain, congestion in chest"
135,cholesteatoma,"ear pain, diminished hearing, fluid in ear, redness in ear, nasal congestion, mass on ear, plugged feeling in ear, bleeding from ear, skin growth, pus draining from ear, allergic reaction, muscle swelling"
136,volvulus,"sharp abdominal pain, vomiting, constipation, burning abdominal pain, peripheral edema, back pain, nausea, depressive or psychotic , diarrhea, elbow cramps or spasms, elbow weakness, excessive growth"
137,injury to the finger,"hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, hand or finger weakness, swelling of scrotum, hand or finger lump or mass"
138,poisoning due to analgesics,"depressive or psychotic , depression, vomiting, abusing alcohol, problems during pregnancy, low self-esteem, skin swelling, heartburn, hostile behavior, throat irritation, excessive anger, blood in stool"
139,atrial fibrillation,"shortness of breath, sharp chest pain, palpitations, dizziness, irregular heartbeat, fatigue, increased heart rate, decreased heart rate"
140,pinworm infection,"itching of the anus, sharp abdominal pain, pain of the anus, skin rash, constipation, itching of skin, painful urination, neck mass, retention of urine, ankle pain, burning abdominal pain, coryza"
141,urethral valves,"side pain, sharp abdominal pain, lower abdominal pain, suprapubic pain, vomiting, constipation, blood in urine, skin growth, nausea, muscle swelling, low back weakness, elbow weakness"
142,open wound of the neck,"skin lesion, ache all over, abnormal appearing skin, peripheral edema, foot or toe swelling, skin swelling, sweating, skin on leg or foot looks infected, delusions or hallucinations, increased heart rate, skin on arm or hand looks infected"
143,achalasia,"sharp chest pain, difficulty in swallowing, back pain, cough, regurgitation, hurts to breath, throat feels tight, rib pain, lump in throat, cramps and spasms, hoarse voice, chest tightness"
144,conductive hearing loss,"diminished hearing, ear pain, plugged feeling in ear, redness in ear, ringing in ear, dizziness, fluid in ear, difficulty speaking, lack of growth, hoarse voice, swollen or red tonsils, low self-esteem"
145,abdominal hernia,"sharp abdominal pain, groin mass, ache all over, upper abdominal pain, groin pain, lower abdominal pain, irregular belly button, swollen abdomen, regurgitation, infant spitting up, swelling of scrotum,  of the scrotum and testes"
146,cerebral palsy,"seizures, problems with movement, cramps and spasms, difficulty eating, lack of growth, leg cramps or spasms, back cramps or spasms, blindness, infant feeding problem, swollen tongue, lip sore, tongue lesions"
147,marijuana abuse,"drug abuse, abusing alcohol, depressive or psychotic , depression, anxiety and nervousness, hostile behavior, delusions or hallucinations, excessive anger, temper problems, fears and phobias, low self-esteem, difficulty speaking"
148,cryptococcosis,"lip swelling, fainting, seizures, depressive or psychotic , shoulder swelling, nailbiting, eye strain, cross-eyed, vulvar sore, hip stiffness or tightness, itchy eyelid, wrist weakness"
149,obesity,"weight gain, abnormal breathing sounds, sleepiness, apnea, excessive appetite"
150,indigestion,"sharp abdominal pain, burning abdominal pain, nausea, upper abdominal pain, heartburn, vomiting, sharp chest pain, diarrhea, constipation, regurgitation, stomach bloating, decreased appetite"
151,bursitis,"shoulder pain, knee pain, elbow pain, arm pain, elbow swelling, leg pain, hip pain, knee swelling, shoulder stiffness or tightness, leg swelling, arm stiffness or tightness, arm swelling"
152,esophageal cancer,"fatigue, ache all over, weakness, sharp abdominal pain, vomiting, shortness of breath, difficulty in swallowing, decreased appetite, hoarse voice, mouth pain, changes in stool appearance, stomach bloating"
153,pulmonary congestion,"shortness of breath, sharp chest pain, cough, difficulty breathing, nasal congestion, fever, chest tightness, congestion in chest, weakness, fluid retention, leg swelling, decreased heart rate"
154,juvenile rheumatoid arthritis,"knee pain, joint pain, back pain, ankle pain, hand or finger pain, hand or finger swelling, problems with movement, bones are painful, wrist swelling, ankle swelling, pelvic pain, knee swelling"
155,actinic keratosis,"abnormal appearing skin, skin lesion, skin dryness peeling scaliness or roughness, skin growth, skin rash, irregular appearing scalp, skin moles, skin swelling, itching of skin, skin irritation, warts,  of the face"
156,acute otitis media,"ear pain, fever, cough, nasal congestion, redness in ear, fluid in ear, sore throat, coryza, pulling at ears, vomiting, diminished hearing, plugged feeling in ear"
157,astigmatism,"diminished vision,  of eye, lacrimation, spots or clouds in vision, eye redness, itchiness of eye, pain in eye, foreign body sensation in eye, eye deviation, eye moves abnormally, cross-eyed, double vision"
158,tuberous sclerosis,"seizures, cramps and spasms, delusions or hallucinations,  of the kidneys, shoulder pain, depressive or psychotic , difficulty speaking, elbow weakness, underweight, excessive growth, low back weakness, feeling hot and cold"
159,empyema,"cough, shortness of breath, hurts to breath, back pain, sharp chest pain, coryza, skin rash, leg pain, skin lesion, sharp abdominal pain, difficulty breathing, abnormal appearing skin"
160,presbyacusis,"diminished hearing, dizziness, ringing in ear, ear pain, neck stiffness or tightness, elbow weakness, excessive growth, feeling hot and cold, wrist weakness, low back weakness, emotional , elbow cramps or spasms"
161,neonatal jaundice,"jaundice, infant feeding problem, irritable infant, changes in stool appearance, irregular belly button, fluid in ear, recent weight loss, drainage in throat, infant spitting up, lack of growth, irregular appearing scalp, flatulence"
162,chronic obstructive pulmonary disease (copd),"cough, shortness of breath, nasal congestion, fever, sore throat, difficulty breathing, sharp chest pain, coryza, wheezing, coughing up sputum, congestion in chest, chest tightness"
163,dislocation of the elbow,"arm pain, elbow pain, arm stiffness or tightness, depression, wrist pain, arm weakness, elbow swelling, irritable infant, arm swelling"
164,spondylosis,"low back pain, back pain, neck pain, leg pain, hip pain, shoulder pain, arm pain, loss of sensation, ache all over, knee pain, lower body pain, paresthesia"
165,herpangina,"fever, skin rash, sore throat, vomiting, mouth ulcer, decreased appetite, cough, insomnia, abnormal appearing skin, tongue lesions, swollen lymph nodes, redness in ear"
166,injury to the shoulder,"shoulder pain, arm pain, neck pain, back pain, elbow pain, shoulder stiffness or tightness, lower body pain, arm stiffness or tightness, shoulder swelling, bones are painful, arm weakness, muscle cramps contractures or spasms"
